file,method,line,statements,flow_blocks,classification
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/input/AuthController.java,<init>,34,3,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/input/AuthController.java,authenticate,53,11,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/input/assembler/AuthAssembler.java,toCommand,34,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/input/assembler/AuthAssembler.java,check,59,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/input/assembler/AuthAssembler.java,check,75,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/input/assembler/AuthAssembler.java,toResponse,87,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/input/assembler/AuthAssembler.java,action,104,9,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/input/scheduler/RetentionScheduler.java,<init>,32,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/input/scheduler/RetentionScheduler.java,expireRetainedRecords,41,4,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/input/scheduler/RetentionScheduler.java,expireCredentials,57,4,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/output/MailAdaptorImpl.java,<init>,27,2,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/output/MailAdaptorImpl.java,deliver,39,28,2,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/output/SecurityAdaptorImpl.java,<init>,41,3,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/output/SecurityAdaptorImpl.java,process,57,15,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/output/SecurityAdaptorImpl.java,encoder,114,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/output/SecurityAdaptorImpl.java,key,118,7,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/output/SecurityAdaptorImpl.java,hmac,135,3,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/output/SecurityAdaptorImpl.java,encrypt,144,7,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/output/SecurityAdaptorImpl.java,decrypt,169,5,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/output/SecurityAdaptorImpl.java,limit,184,7,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/output/converter/MailConverter.java,accepted,21,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/output/converter/SecurityConverter.java,value,22,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/auth/output/converter/SecurityConverter.java,verification,33,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/chat/input/ChatController.java,<init>,31,2,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/chat/input/ChatController.java,manage,45,8,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/chat/input/SyncController.java,<init>,27,2,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/chat/input/SyncController.java,synchronize,40,8,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/chat/input/SyncStreamController.java,<init>,29,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/chat/input/SyncStreamController.java,subscribe,41,7,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/chat/input/SyncStreamController.java,failedSubscription,57,7,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/chat/input/assembler/ChatAssembler.java,toCommand,39,16,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/chat/input/assembler/ChatAssembler.java,conversation,82,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/chat/input/assembler/ChatAssembler.java,message,99,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/chat/input/assembler/ChatAssembler.java,run,117,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/chat/input/assembler/ChatAssembler.java,toResponse,136,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/chat/input/assembler/SyncAssembler.java,toCommand,28,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/chat/input/assembler/SyncAssembler.java,event,39,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/chat/input/assembler/SyncAssembler.java,toResponse,56,1,0,single_operation_or_constructor_review
