file,line,type,args,responsibility
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/FileOutAdaptorImpl.java,42,Semaphore,1,protocol_or_IO
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/FileOutAdaptorImpl.java,127,ArrayList,0,protocol_or_IO
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/FileOutAdaptorImpl.java,165,String,4,protocol_or_IO
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/FileOutAdaptorImpl.java,166,IllegalArgumentException,1,protocol_or_IO
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/FileOutAdaptorImpl.java,171,IllegalArgumentException,1,protocol_or_IO
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/FileOutAdaptorImpl.java,174,PDFTextStripper,0,protocol_or_IO
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/FileOutAdaptorImpl.java,175,BoundedTextWriter,0,protocol_or_IO
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/FileOutAdaptorImpl.java,184,IllegalArgumentException,1,protocol_or_IO
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/FileOutAdaptorImpl.java,198,IllegalArgumentException,1,protocol_or_IO
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/FileOutAdaptorImpl.java,201,ParsedFile,2,protocol_or_IO
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/converter/FileOutputConverter.java,26,FileDO,4,output_converter
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/converter/FileOutputConverter.java,37,FileDO,4,output_converter
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/converter/FileOutputConverter.java,53,FileDO,4,output_converter
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/converter/FileOutputConverter.java,59,AdaptorException,1,output_converter
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/model/BoundedTextWriter.java,15,StringBuilder,0,protocol_or_IO
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/model/BoundedTextWriter.java,28,IOException,1,protocol_or_IO
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/assembler/AuthInputAssembler.java,37,AuthCommand,12,layer_assembler
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/assembler/AuthInputAssembler.java,76,AuthCommand,12,layer_assembler
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/assembler/AuthInputAssembler.java,88,AuthResponse,6,layer_assembler
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/assembler/AuthInputAssembler.java,112,AdaptorException,1,layer_assembler
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/assembler/ChatInputAssembler.java,55,AdaptorException,1,layer_assembler
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/assembler/ChatInputAssembler.java,58,ChatCommand,14,layer_assembler
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/assembler/ChatInputAssembler.java,83,ConversationResponse,6,layer_assembler
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/assembler/ChatInputAssembler.java,100,MessageResponse,7,layer_assembler
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/assembler/ChatInputAssembler.java,120,RunResponse,6,layer_assembler
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/assembler/ChatInputAssembler.java,137,ChatResponse,9,layer_assembler
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/assembler/KnowledgeInputAssembler.java,47,AdaptorException,1,layer_assembler
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/assembler/KnowledgeInputAssembler.java,50,KnowledgeCommand,9,layer_assembler
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/assembler/KnowledgeInputAssembler.java,74,AdaptorException,1,layer_assembler
