file,method,whole_body_try_catch,declares_throws,rethrows_from_catch
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,saveUserAccount,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,removeUserAccount,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,saveDevice,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,removeDevice,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,saveLoginSession,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,removeLoginSession,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,saveEmailChallenge,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,removeEmailChallenge,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,saveConversation,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,removeConversation,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,saveMessage,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,removeMessage,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,saveChatRun,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,removeChatRun,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,saveMemorySummary,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,removeMemorySummary,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,saveMemoryFact,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,removeMemoryFact,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,saveMemoryFactSource,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,removeMemoryFactSource,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,saveKnowledgeDocument,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,removeKnowledgeDocument,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,saveKnowledgeChunk,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,removeKnowledgeChunk,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,saveIndexJob,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,removeIndexJob,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,saveSyncEvent,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,removeSyncEvent,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,saveOutboxEvent,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,removeOutboxEvent,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,saveModelInvocation,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,removeModelInvocation,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,saveRefreshReceipt,true,false,false
hello-travel-domain/src/main/java/com/hellotravel/domain/persistence/service/TravelWriteDomainService.java,removeRefreshReceipt,true,false,false
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/FileOutAdaptorImpl.java,store,true,false,false
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/security/output/SecurityOutAdaptorImpl.java,process,true,false,false
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/mail/output/MailOutAdaptorImpl.java,deliver,true,false,false
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/knowledge/output/VectorOutAdaptorImpl.java,index,true,false,false
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/input/AuthController.java,authenticate,true,false,false
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/input/ChatController.java,manage,true,false,false
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/input/SyncController.java,synchronize,true,false,false
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/input/KnowledgeController.java,upload,true,false,false
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/input/KnowledgeController.java,manage,true,false,false
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/stream/SyncStreamController.java,subscribe,true,false,false
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/model/output/ModelOutAdaptorImpl.java,generate,true,false,false
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/travel/output/TravelOutAdaptorImpl.java,consult,true,false,false
hello-travel-application/src/main/java/com/hellotravel/application/chat/service/ChatApplication.java,manage,true,false,false
hello-travel-application/src/main/java/com/hellotravel/application/auth/service/AuthApplication.java,authenticate,true,false,false
hello-travel-application/src/main/java/com/hellotravel/application/knowledge/service/KnowledgeApplication.java,manage,true,false,false
hello-travel-application/src/main/java/com/hellotravel/application/sync/service/SyncApplication.java,synchronize,true,false,false
checked=50,failed=0
