file,method,line,statements,flow_blocks,classification
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/exception/AdaptorErrorCode.java,<init>,106,2,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/exception/AdaptorErrorCode.java,code,117,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/exception/AdaptorErrorCode.java,message,127,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/exception/AdaptorErrorCode.java,status,137,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/exception/AdaptorException.java,<init>,18,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/FileOutAdaptorImpl.java,<init>,44,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/FileOutAdaptorImpl.java,store,55,32,3,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/FileOutAdaptorImpl.java,scan,126,12,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/FileOutAdaptorImpl.java,parse,160,21,2,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/model/BoundedTextWriter.java,write,25,3,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/model/BoundedTextWriter.java,flush,39,0,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/model/BoundedTextWriter.java,close,47,0,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/model/BoundedTextWriter.java,toString,56,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/input/AuthController.java,<init>,43,3,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/input/AuthController.java,authenticate,60,22,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/input/AuthController.java,device,122,10,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/input/AuthController.java,sign,145,4,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/input/AuthController.java,cookie,156,2,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/input/ChatController.java,<init>,36,2,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/input/ChatController.java,manage,50,20,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/input/KnowledgeController.java,<init>,38,2,0,single_operation_or_constructor_review
