file,method,line,statements,flow_blocks,classification
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/exception/AdaptorErrorCode.java,<init>,106,2,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/exception/AdaptorErrorCode.java,code,117,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/exception/AdaptorErrorCode.java,message,127,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/exception/AdaptorErrorCode.java,status,137,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/exception/AdaptorException.java,<init>,18,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/FileOutAdaptorImpl.java,<init>,46,2,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/FileOutAdaptorImpl.java,store,58,32,3,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/FileOutAdaptorImpl.java,scan,124,12,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/FileOutAdaptorImpl.java,parse,158,21,2,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/converter/FileOutputConverter.java,deleted,25,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/converter/FileOutputConverter.java,scanned,36,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/converter/FileOutputConverter.java,stored,50,4,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/model/BoundedTextWriter.java,write,25,3,1,flow_checked
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/model/BoundedTextWriter.java,flush,39,0,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/model/BoundedTextWriter.java,close,47,0,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/file/output/model/BoundedTextWriter.java,toString,56,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/assembler/AuthInputAssembler.java,toCommand,34,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/assembler/AuthInputAssembler.java,check,59,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/assembler/AuthInputAssembler.java,check,75,1,0,single_operation_or_constructor_review
hello-travel-adaptor/src/main/java/com/hellotravel/adaptor/http/assembler/AuthInputAssembler.java,toResponse,87,1,0,single_operation_or_constructor_review
